Period,Clock,Team,Fouler,Subtype,Descriptor,Official1,Official2,Official3,Home_Team,Home_Score,Away_Score,WinProb_Current,WinProb_Previous,Clock_Previous_WP
1,10:55,DET,Marvin Bagley III,Shooting Foul,Foul,Marat Kogut,Tony Brothers,Karl Lane,LAL,2,2,0.783,0.753,10:55
1,10:21,DET,Marvin Bagley III,Personal Foul,Foul,Marat Kogut,Tony Brothers,Karl Lane,LAL,3,4,0.747,0.749,10:36
1,10:13,DET,Jalen Duren,Shooting Foul,Foul,Marat Kogut,Tony Brothers,Karl Lane,LAL,3,4,0.774,0.747,10:21
1,9:35,DET,Killian Hayes,Shooting Foul,Foul,Marat Kogut,Tony Brothers,Karl Lane,LAL,5,6,0.771,0.745,9:49
1,9:24,LAL,Troy Brown Jr.,Shooting Foul,Foul,Marat Kogut,Tony Brothers,Karl Lane,LAL,7,6,0.732,0.764,9:35
1,8:22,LAL,Anthony Davis,Offensive Foul,Foul,Marat Kogut,Tony Brothers,Karl Lane,LAL,12,8,0.809,0.827,8:32
1,7:48,LAL,Patrick Beverley,Shooting Foul,Foul,Marat Kogut,Tony Brothers,Karl Lane,LAL,12,10,0.746,0.775,7:53
1,7:39,DET,Jalen Duren,Shooting Foul,Foul,Marat Kogut,Tony Brothers,Karl Lane,LAL,12,12,0.782,0.756,7:48
1,7:17,DET,Killian Hayes,Shooting Foul,Foul,Marat Kogut,Tony Brothers,Karl Lane,LAL,15,14,0.785,0.753,7:17
1,7:12,DET,Nerlens Noel,Shooting Foul,Foul,Marat Kogut,Tony Brothers,Karl Lane,LAL,15,14,0.798,0.771,7:13
1,6:58,LAL,Russell Westbrook,Loose Ball Foul,Foul,Marat Kogut,Tony Brothers,Karl Lane,LAL,17,14,0.79,0.788,6:58
1,5:57,DET,Nerlens Noel,Personal Foul,Foul,Marat Kogut,Tony Brothers,Karl Lane,LAL,19,17,0.812,0.786,6:17
1,4:25,LAL,Dennis Schroder,Personal Foul,Foul,Marat Kogut,Tony Brothers,Karl Lane,LAL,23,22,0.707,0.741,4:36
1,3:29,LAL,Troy Brown Jr.,Shooting Foul,Foul,Marat Kogut,Tony Brothers,Karl Lane,LAL,23,24,0.656,0.689,3:35
1,2:09,DET,Alec Burks,Shooting Foul,Foul,Marat Kogut,Tony Brothers,Karl Lane,LAL,23,31,0.566,0.528,2:23
1,1:47,DET,Nerlens Noel,Shooting Foul,Foul,Marat Kogut,Tony Brothers,Karl Lane,LAL,25,31,0.618,0.578,1:51
1,1:03,LAL,Dennis Schroder,Personal Foul,Foul,Marat Kogut,Tony Brothers,Karl Lane,LAL,28,33,0.525,0.574,1:16
2,11:55,DET,Isaiah Livers,Offensive Foul,Foul,Marat Kogut,Tony Brothers,Karl Lane,LAL,30,37,0.531,0.518,12:00
