Period,Clock,Team,Fouler,Subtype,Descriptor,Official1,Official2,Official3,Home_Team,Home_Score,Away_Score,WinProb_Current,WinProb_Previous,Clock_Previous_WP
1,11:41,SA,Sandro Mamukelashvili,Shooting Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,0,0,0.345,0.382,12:00
1,11:04,SA,Romeo Langford,Loose Ball Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,0,2,0.335,0.335,11:04
1,10:43,DAL,Dwight Powell,Shooting Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,0,4,0.347,0.312,10:56
1,8:36,DAL,Josh Green,Shooting Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,7,7,0.449,0.411,8:51
1,7:03,DAL,Maxi Kleber,Shooting Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,10,11,0.427,0.388,7:25
1,6:53,SA,Keldon Johnson,Shooting Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,10,11,0.348,0.363,6:53
1,6:32,DAL,Dwight Powell,Shooting Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,10,13,0.378,0.341,6:53
1,5:44,SA,Malaki Branham,Personal Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,14,13,0.378,0.417,5:52
1,4:26,SA,Devonte' Graham,Personal Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,19,15,0.46,0.501,4:43
1,4:03,SA,Blake Wesley,Shooting Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,19,19,0.374,0.421,4:03
1,2:21,SA,Doug McDermott,Shooting Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,23,21,0.434,0.481,2:21
2,10:45,SA,Gorgui Dieng,Loose Ball Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,34,28,0.583,0.582,10:46
2,8:06,DAL,JaVale McGee,Shooting Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,38,38,0.487,0.443,8:20
2,7:52,DAL,JaVale McGee,Loose Ball Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,40,38,0.504,0.503,7:52
2,6:59,SA,Doug McDermott,Offensive Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,40,41,0.384,0.413,7:11
2,6:42,SA,Gorgui Dieng,Shooting Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,40,41,0.342,0.384,6:59
2,4:49,DAL,JaVale McGee,Offensive Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,46,48,0.387,0.356,4:58
2,4:01,SA,Keldon Johnson,Personal Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,48,50,0.357,0.356,4:10
2,2:44,SA,Malaki Branham,Shooting Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,53,55,0.337,0.389,2:44
2,57.1,DAL,Josh Green,Shooting Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,58,58,0.485,0.426,57.1
2,51.1,SA,Devonte' Graham,Personal Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,59,58,0.409,0.457,57.1
3,9:05,DAL,Josh Green,Shooting Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,65,66,0.489,0.431,9:07
3,8:20,SA,Romeo Langford,Shooting Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,69,70,0.369,0.434,8:20
3,7:18,DAL,Reggie Bullock Jr.,Shooting Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,71,73,0.457,0.398,7:36
3,6:47,DAL,McKinley Wright IV,Personal Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,71,75,0.321,0.288,7:03
3,6:22,SA,Devonte' Graham,Personal Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,73,75,0.36,0.358,6:36
3,4:01,DAL,Christian Wood,Offensive Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,80,80,0.485,0.44,4:12
3,2:37,SA,Dominick Barlow,Shooting Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,85,80,0.6,0.661,3:01
3,7.0,SA,Gorgui Dieng,Personal Foul,Foul,Scott Foster,Mitchell Ervin,Jonathan Sterling,SA,93,88,0.616,0.684,15.1
