Period,Clock,Team,Fouler,Subtype,Descriptor,Official1,Official2,Official3,Home_Team,Home_Score,Away_Score,WinProb_Current,WinProb_Previous,Clock_Previous_WP
1,11:26,UTAH,Kelly Olynyk,Shooting Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,2,0,0.857,0.851,11:26
1,10:06,UTAH,Mike Conley,Shooting Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,6,4,0.851,0.871,10:21
1,6:19,UTAH,Jordan Clarkson,Personal Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,16,14,0.853,0.854,6:35
1,6:11,UTAH,Collin Sexton,Shooting Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,16,14,0.831,0.852,6:19
1,5:17,DAL,Christian Wood,Shooting Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,20,14,0.913,0.896,5:17
1,4:13,DAL,McKinley Wright IV,Shooting Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,25,18,0.919,0.903,4:13
1,1:52,DAL,Jaden Hardy,Offensive Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,31,18,0.953,0.947,2:02
1,1:43,DAL,A.J. Lawson,Shooting Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,31,18,0.961,0.953,1:52
1,1:13,UTAH,Lauri Markkanen,Shooting Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,35,20,0.949,0.958,1:21
2,11:32,UTAH,Malik Beasley,Offensive Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,37,27,0.923,0.93,11:44
2,8:30,DAL,A.J. Lawson,Shooting Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,39,36,0.863,0.84,8:34
2,7:01,DAL,Frank Ntilikina,Loose Ball Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,43,41,0.815,0.815,7:01
2,5:29,DAL,Josh Green,Personal Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,46,47,0.774,0.741,5:40
2,5:21,DAL,Tim Hardaway Jr.,Shooting Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,48,47,0.801,0.762,5:21
2,3:01,DAL,Christian Wood,Personal Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,53,52,0.805,0.77,3:11
2,2:11,DAL,Tim Hardaway Jr.,Shooting Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,59,52,0.892,0.868,2:11
2,2:02,UTAH,Kelly Olynyk,Personal Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,60,52,0.882,0.882,2:11
2,1:25,UTAH,Lauri Markkanen,Shooting Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,60,52,0.856,0.881,1:41
2,3.1,DAL,Chris Silva,Shooting Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,60,60,0.766,0.729,23.2
2,1.1,DAL,Chris Silva,Offensive Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,62,60,0.779,0.752,3.1
3,9:36,UTAH,Jordan Clarkson,Shooting Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,66,67,0.589,0.647,9:57
3,6:50,DAL,Tim Hardaway Jr.,Shooting Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,68,75,0.475,0.416,7:01
3,5:42,DAL,Reggie Bullock Jr.,Shooting Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,72,77,0.543,0.481,5:50
3,4:51,DAL,Dwight Powell,Offensive Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,73,77,0.51,0.467,4:59
3,4:34,UTAH,Malik Beasley,Shooting Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,73,77,0.396,0.461,4:37
3,2:44,DAL,A.J. Lawson,Shooting Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,75,82,0.375,0.294,2:44
3,1:01,DAL,Theo Pinson,Loose Ball Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,81,85,0.525,0.455,1:01
3,12.2,UTAH,Udoka Azubuike,Shooting Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,85,87,0.414,0.495,31.1
4,11:49,DAL,Frank Ntilikina,Personal Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,85,89,0.449,0.413,12:00
4,9:04,UTAH,Ochai Agbaji,Shooting Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,94,92,0.572,0.669,9:11
4,8:32,UTAH,Lauri Markkanen,Shooting Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,96,96,0.489,0.61,8:32
4,6:09,UTAH,Collin Sexton,Personal Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,98,103,0.191,0.209,6:13
4,4:31,DAL,Dwight Powell,Shooting Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,100,105,0.278,0.162,4:31
4,4:07,UTAH,Lauri Markkanen,Offensive Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,101,107,0.114,0.165,4:18
4,3:51,UTAH,Walker Kessler,Shooting Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,101,107,0.059,0.114,4:07
4,3:29,DAL,Jaden Hardy,Personal Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,101,111,0.033,0.03,3:39
4,2:27,UTAH,Collin Sexton,Loose Ball Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,101,111,0.004,0.008,2:27
4,2:20,DAL,Josh Green,Personal Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,101,112,0.026,0.01,2:25
4,1:52,UTAH,Kelly Olynyk,Shooting Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,103,112,0.005,0.017,2:11
4,1:44,DAL,Jaden Hardy,Personal Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,103,114,0.018,0.008,1:52
4,57.0,UTAH,Kelly Olynyk,Personal Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,106,116,0.001,0.003,1:19
4,53.1,DAL,Dwight Powell,Shooting Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,106,118,0.003,0.001,57.0
4,42.1,UTAH,Jordan Clarkson,Personal Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,109,118,0.001,0.004,53.1
4,42.1,UTAH,Jordan Clarkson,Technical Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,109,118,0.001,0.001,42.1
4,22.1,DAL,Jaden Hardy,Shooting Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,109,123,0.001,0.001,27.1
4,15.1,UTAH,Lauri Markkanen,Personal Foul,Foul,Zach Zarba,Ray Acosta,Natalie Sago,UTAH,111,123,0.001,0.001,15.1
