Period,Clock,Team,Fouler,Subtype,Descriptor,Official1,Official2,Official3,Home_Team,Home_Score,Away_Score,WinProb_Current,WinProb_Previous,Clock_Previous_WP
1,10:19,MEM,Dillon Brooks,Shooting Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,0,2,0.525,0.542,10:19
1,8:02,MEM,Jaren Jackson Jr.,Shooting Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,6,5,0.575,0.612,8:13
1,5:00,LAL,Anthony Davis,Shooting Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,14,7,0.784,0.747,5:00
1,4:31,MEM,Dillon Brooks,Shooting Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,14,11,0.637,0.681,4:31
1,4:19,LAL,Anthony Davis,Defensive 3-Seconds Technical,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,14,11,0.674,0.681,4:29
1,4:02,LAL,D'Angelo Russell,Shooting Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,21,11,0.838,0.807,4:02
1,2:51,LAL,D'Angelo Russell,Shooting Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,22,16,0.765,0.748,2:51
1,15.1,MEM,David Roddy,Personal Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,30,19,0.799,0.828,36.1
2,10:59,MEM,David Roddy,Shooting Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,33,21,0.822,0.849,11:18
2,8:54,LAL,Malik Beasley,Loose Ball Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,39,28,0.851,0.852,8:54
2,8:49,MEM,Desmond Bane,Loose Ball Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,39,28,0.835,0.834,8:49
2,8:14,MEM,Desmond Bane,Shooting Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,39,28,0.82,0.835,8:19
2,4:30,MEM,Dillon Brooks,Shooting Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,47,35,0.832,0.86,4:39
2,3:21,MEM,Tyus Jones,Personal Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,49,38,0.814,0.845,3:30
2,2:36,LAL,D'Angelo Russell,Personal Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,52,41,0.866,0.866,2:54
2,2:05,LAL,Anthony Davis,Offensive Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,54,41,0.898,0.883,2:26
2,5.1,MEM,Tyus Jones,Personal Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,59,43,0.911,0.93,7.1
3,10:29,MEM,Xavier Tillman,Shooting Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,63,44,0.957,0.963,10:43
3,9:14,MEM,Dillon Brooks,Offensive Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,66,48,0.959,0.967,9:30
3,9:06,LAL,Jarred Vanderbilt,Offensive Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,66,48,0.968,0.959,9:14
3,8:30,MEM,Desmond Bane,Offensive Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,66,50,0.943,0.953,8:35
3,7:58,LAL,Jarred Vanderbilt,Personal Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,66,52,0.933,0.933,8:06
3,7:44,MEM,David Roddy,Shooting Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,66,52,0.898,0.921,7:51
3,6:47,MEM,Desmond Bane,Personal Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,69,54,0.938,0.937,7:04
3,3:52,LAL,Anthony Davis,Shooting Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,69,63,0.831,0.787,4:04
3,2:36,MEM,Tyus Jones,Shooting Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,73,65,0.777,0.824,2:52
3,11.0,LAL,Dennis Schroder,Shooting Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,81,71,0.939,0.913,32.1
4,11:07,MEM,John Konchar,Personal Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,83,73,0.895,0.902,11:19
4,10:34,LAL,Jarred Vanderbilt,Shooting Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,83,75,0.92,0.879,10:55
4,10:00,LAL,Dennis Schroder,Personal Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,84,75,0.917,0.911,10:00
4,7:25,MEM,Dillon Brooks,Personal Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,89,77,0.96,0.961,7:49
4,4:50,LAL,D'Angelo Russell,Shooting Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,91,82,0.979,0.957,5:03
4,3:51,MEM,Jaren Jackson Jr.,Personal Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,92,84,0.923,0.932,3:58
4,3:28,LAL,Rui Hachimura,Personal Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,92,86,0.952,0.903,3:48
4,3:20,LAL,LeBron James,Shooting Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,92,86,0.954,0.917,3:28
4,2:55,LAL,D'Angelo Russell,Shooting Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,94,88,0.961,0.924,3:10
4,2:03,MEM,Jaren Jackson Jr.,Personal Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,96,88,0.916,0.965,2:06
4,1:06,LAL,Austin Reaves,Personal Take Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,99,90,0.998,0.993,1:11
4,30.1,LAL,Austin Reaves,Personal Take Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,101,93,0.998,0.995,34.1
4,20.1,LAL,Wenyen Gabriel,Offensive Foul,Foul,Courtney Kirkland,Josh Tiven,Kevin Cutler,MEM,103,93,0.999,0.997,30.1
