Period,Clock,Team,Fouler,Subtype,Descriptor,Official1,Official2,Official3,Home_Team,Home_Score,Away_Score,WinProb_Current,WinProb_Previous,Clock_Previous_WP
1,11:22,NO,Zion Williamson,Shooting Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,2,0,0.778,0.804,11:36
1,10:08,NO,Zion Williamson,Shooting Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,7,5,0.785,0.814,10:08
1,9:30,NO,Trey Murphy III,Shooting Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,9,6,0.787,0.811,9:45
1,8:54,NO,Brandon Ingram,Shooting Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,9,8,0.748,0.776,9:00
1,7:42,MEM,Ja Morant,Shooting Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,11,9,0.817,0.787,7:42
1,7:22,MEM,Desmond Bane,Personal Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,12,9,0.82,0.821,7:29
1,6:15,NO,Jonas Valanciunas,Loose Ball Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,12,11,0.732,0.783,6:15
1,5:58,MEM,John Konchar,Shooting Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,12,13,0.771,0.743,6:15
1,4:46,MEM,Bismack Biyombo,Offensive Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,14,13,0.777,0.756,4:47
1,32.0,MEM,Jaren Jackson Jr.,Shooting Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,19,22,0.699,0.662,41.0
2,10:39,MEM,Xavier Tillman,Shooting Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,25,29,0.662,0.621,10:52
2,10:01,NO,Trey Murphy III,Personal Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,26,29,0.617,0.617,10:03
2,9:33,MEM,John Konchar,Personal Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,26,29,0.641,0.643,9:40
2,8:51,MEM,Xavier Tillman,Shooting Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,28,29,0.726,0.692,9:05
2,4:37,MEM,Bismack Biyombo,Loose Ball Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,43,31,0.935,0.908,4:37
2,2:30,MEM,Jaren Jackson Jr.,Shooting Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,51,31,0.983,0.978,2:51
2,1:21,MEM,Bismack Biyombo,Personal Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,56,36,0.984,0.98,1:39
2,15.2,NO,CJ McCollum,Offensive Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,60,38,0.984,0.986,33.1
3,11:40,NO,Jonas Valanciunas,Offensive Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,60,41,0.973,0.978,11:43
3,10:56,NO,Herbert Jones,Shooting Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,60,43,0.951,0.962,10:58
3,9:40,MEM,Jaren Jackson Jr.,Shooting Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,62,49,0.952,0.939,9:48
3,8:26,NO,Herbert Jones,Shooting Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,64,55,0.852,0.887,8:26
3,8:15,NO,Herbert Jones,Loose Ball Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,67,56,0.903,0.903,8:15
3,7:28,NO,Jonas Valanciunas,Shooting Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,69,61,0.832,0.869,7:28
3,5:16,MEM,Ja Morant,Personal Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,75,64,0.924,0.926,5:19
3,3:16,NO,Cody Zeller,Personal Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,81,70,0.888,0.915,3:26
3,1:53,NO,Jose Alvarado,Personal Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,83,74,0.847,0.883,1:56
3,1:18,MEM,John Konchar,Shooting Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,83,75,0.916,0.885,1:33
4,10:55,NO,Dyson Daniels,Shooting Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,90,79,0.901,0.937,11:01
4,10:08,NO,Jonas Valanciunas,Shooting Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,93,80,0.94,0.962,10:18
4,9:01,MEM,Santi Aldama,Personal Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,96,87,0.929,0.924,9:13
4,8:01,NO,CJ McCollum,Personal Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,96,89,0.842,0.854,8:04
4,6:56,MEM,Xavier Tillman,Shooting Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,98,94,0.854,0.779,7:15
4,6:40,NO,Jonas Valanciunas,Shooting Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,100,94,0.79,0.831,6:40
4,6:02,MEM,Ziaire Williams,Shooting Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,100,96,0.861,0.784,6:04
4,5:33,NO,Zion Williamson,Offensive Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,102,98,0.743,0.794,5:45
4,4:47,NO,Brandon Ingram,Personal Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,104,100,0.654,0.747,4:54
4,3:29,NO,Brandon Ingram,Shooting Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,108,105,0.581,0.694,3:33
4,3:16,MEM,Vince Williams Jr.,Shooting Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,108,107,0.747,0.625,3:29
4,1:56,NO,Brandon Ingram,Personal Foul,Foul,Zach Zarba,Michael Smith,Ray Acosta,NO,109,107,0.51,0.641,2:02
