Period,Clock,Team,Fouler,Subtype,Descriptor,Official1,Official2,Official3,Home_Team,Home_Score,Away_Score,WinProb_Current,WinProb_Previous,Clock_Previous_WP
1,10:19,CHI,Zach LaVine,Shooting Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,4,2,0.549,0.507,10:19
1,9:17,CHI,Nikola Vucevic,Shooting Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,9,7,0.55,0.507,9:17
1,6:18,DET,Cade Cunningham,Loose Ball Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,16,14,0.51,0.509,6:18
1,5:37,DET,Ausar Thompson,Shooting Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,16,16,0.438,0.484,5:37
1,5:19,CHI,Torrey Craig,Personal Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,16,17,0.456,0.458,5:37
1,5:06,DET,Isaiah Stewart,Shooting Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,16,17,0.393,0.43,5:08
1,4:40,DET,Isaiah Stewart,Personal Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,18,18,0.418,0.459,4:54
1,1:03,DET,Marvin Bagley III,Shooting Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,29,26,0.525,0.571,1:03
2,12:00,CHI,Zach LaVine,Technical Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,29,26,0.6,0.563,12:00
2,11:22,CHI,Torrey Craig,Shooting Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,29,28,0.563,0.521,11:44
2,10:59,CHI,DeMar DeRozan,Personal Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,31,28,0.577,0.58,11:06
2,8:59,DET,Jalen Duren,Offensive Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,35,33,0.522,0.552,9:17
2,4:08,CHI,Coby White,Personal Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,43,40,0.594,0.594,4:15
2,1:58,CHI,Nikola Vucevic,Shooting Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,51,42,0.815,0.778,2:05
2,1:48,DET,Alec Burks,Personal Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,53,42,0.767,0.802,1:58
3,11:46,DET,Isaiah Stewart,Defensive 3-Seconds Technical,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,57,44,0.864,0.867,12:00
3,10:36,DET,Killian Hayes,Personal Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,57,47,0.797,0.795,10:46
3,10:14,CHI,Zach LaVine,Personal Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,57,50,0.745,0.747,10:26
3,10:10,CHI,Patrick Williams,Shooting Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,61,50,0.863,0.773,10:10
3,9:33,DET,Isaiah Stewart,Shooting Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,60,53,0.666,0.775,9:34
3,8:43,CHI,DeMar DeRozan,Personal Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,62,57,0.684,0.686,8:49
3,7:49,DET,Cade Cunningham,Personal Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,64,59,0.657,0.656,7:56
3,7:03,DET,Jalen Duren,Defensive 3-Seconds Technical,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,66,59,0.74,0.729,7:17
3,6:56,DET,Jalen Duren,Shooting Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,66,60,0.641,0.696,7:03
3,6:45,DET,Cade Cunningham,Offensive Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,66,62,0.623,0.661,6:56
3,6:40,DET,Ausar Thompson,Personal Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,66,62,0.567,0.623,6:45
3,6:32,CHI,Patrick Williams,Personal Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,66,63,0.68,0.626,6:40
3,5:10,CHI,Patrick Williams,Shooting Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,71,68,0.689,0.632,5:12
3,4:46,CHI,Nikola Vucevic,Shooting Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,73,68,0.764,0.71,4:51
3,1:00,DET,Marvin Bagley III,Shooting Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,81,75,0.701,0.781,1:00
3,1:00,DET,Marvin Bagley III,Technical Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,81,75,0.701,0.701,1:00
4,11:48,CHI,Torrey Craig,Shooting Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,86,77,0.907,0.856,11:48
4,8:16,CHI,Nikola Vucevic,Shooting Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,95,89,0.889,0.828,8:33
4,6:05,DET,Ausar Thompson,Personal Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,101,91,0.942,0.944,6:19
4,5:14,CHI,DeMar DeRozan,Shooting Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,105,91,0.995,0.99,5:14
4,4:59,DET,Jalen Duren,Shooting Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,105,91,0.981,0.99,5:12
4,4:54,CHI,Alex Caruso,Personal Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,105,93,0.993,0.986,4:59
4,4:42,DET,Isaiah Stewart,Personal Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,105,93,0.979,0.981,4:50
4,3:57,CHI,Nikola Vucevic,Offensive Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,105,95,0.981,0.979,4:06
4,3:24,CHI,Alex Caruso,Shooting Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,105,95,0.989,0.985,3:24
4,2:30,CHI,Alex Caruso,Shooting Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,107,97,0.996,0.99,2:40
4,42.1,DET,Killian Hayes,Personal Take Foul,Foul,Mark Lindsay,Natalie Sago,Dannica Mosher,DET,118,99,0.999,0.999,44.1
