Period,Clock,Team,Fouler,Subtype,Descriptor,Official1,Official2,Official3,Home_Team,Home_Score,Away_Score,WinProb_Current,WinProb_Previous,Clock_Previous_WP
1,7:59,MIL,Brook Lopez,Personal Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,7,13,0.373,0.374,8:08
1,7:27,MIL,Damian Lillard,Shooting Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,9,13,0.464,0.425,7:36
1,5:40,PHI,Kyle Lowry,Shooting Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,17,18,0.435,0.475,5:43
1,3:56,PHI,Paul Reed,Shooting Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,17,21,0.353,0.391,3:58
1,3:26,PHI,Paul Reed,Personal Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,17,24,0.312,0.311,3:30
1,2:29,MIL,Malik Beasley,Shooting Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,17,27,0.301,0.263,2:32
1,1:45,PHI,Kyle Lowry,Shooting Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,19,29,0.207,0.236,1:51
2,8:22,MIL,Bobby Portis,Shooting Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,33,40,0.362,0.32,8:37
2,6:27,MIL,Giannis Antetokounmpo,Personal Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,37,48,0.208,0.211,6:42
2,5:09,MIL,Malik Beasley,Shooting Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,40,51,0.24,0.204,5:21
2,41.0,PHI,Paul Reed,Personal Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,46,65,0.034,0.043,41.0
3,10:50,PHI,Paul Reed,Personal Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,52,71,0.039,0.038,11:01
3,10:36,PHI,Tyrese Maxey,Loose Ball Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,52,71,0.038,0.037,10:36
3,10:23,MIL,Damian Lillard,Shooting Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,54,71,0.076,0.054,10:23
3,10:06,PHI,Tyrese Maxey,Personal Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,55,71,0.066,0.066,10:23
3,8:24,PHI,Paul Reed,Shooting Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,58,78,0.021,0.031,8:24
3,6:30,MIL,Malik Beasley,Personal Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,63,79,0.061,0.062,6:36
3,7:43,PHI,Tobias Harris,Shooting Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,61,79,0.026,0.062,6:30
3,6:19,PHI,Kelly Oubre Jr.,Offensive Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,63,81,0.031,0.04,6:20
3,5:38,PHI,De'Anthony Melton,Shooting Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,63,84,0.009,0.014,5:41
3,4:31,MIL,Jae Crowder,Personal Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,65,88,0.008,0.008,4:34
3,4:12,PHI,Mo Bamba,Shooting Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,68,88,0.009,0.014,4:26
3,3:23,PHI,De'Anthony Melton,Personal Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,73,89,0.023,0.035,3:36
4,11:44,MIL,Brook Lopez,Shooting Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,82,95,0.088,0.054,12:00
4,10:57,PHI,Kelly Oubre Jr.,Shooting Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,83,95,0.033,0.054,11:06
4,10:50,MIL,Bobby Portis,Personal Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,83,97,0.042,0.039,10:57
4,8:54,PHI,Kelly Oubre Jr.,Personal Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,85,97,0.036,0.04,9:04
4,7:52,PHI,Tyrese Maxey,Shooting Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,85,99,0.01,0.021,7:52
4,1:11,PHI,Mo Bamba,Personal Foul,Foul,David Guthrie,Karl Lane,John Butler,PHI,98,114,0.001,0.001,1:31
