Period,Clock,Team,Fouler,Subtype,Descriptor,Official1,Official2,Official3,Home_Team,Home_Score,Away_Score,WinProb_Current,WinProb_Previous,Clock_Previous_WP
1,8:47,WSH,Daniel Gafford,Shooting Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,5,5,0.286,0.32,8:48
1,6:21,WSH,Daniel Gafford,Shooting Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,11,14,0.245,0.281,6:21
1,5:21,WSH,Jordan Poole,Shooting Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,15,14,0.319,0.353,5:40
1,3:59,BKN,Day'Ron Sharpe,Shooting Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,17,20,0.324,0.288,4:15
1,2:42,BKN,Mikal Bridges,Personal Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,19,24,0.247,0.247,2:42
1,1:10,BKN,Dennis Smith Jr.,Personal Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,23,24,0.386,0.346,1:16
1,56.1,WSH,Corey Kispert,Shooting Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,23,24,0.285,0.316,59.0
2,10:50,BKN,Dorian Finney-Smith,Shooting Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,31,27,0.54,0.498,10:52
2,8:47,WSH,Corey Kispert,Shooting Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,34,33,0.366,0.386,8:49
2,5:40,WSH,Kyle Kuzma,Shooting Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,41,39,0.385,0.43,5:54
2,5:30,BKN,Spencer Dinwiddie,Personal Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,41,40,0.431,0.431,5:37
2,3:53,WSH,Jordan Poole,Shooting Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,46,43,0.425,0.469,4:09
2,1:32,BKN,Day'Ron Sharpe,Offensive Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,46,49,0.322,0.292,1:43
2,7.1,WSH,Jordan Poole,Personal Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,51,53,0.279,0.324,13.2
3,10:46,WSH,Daniel Gafford,Offensive Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,54,58,0.263,0.296,10:53
3,8:20,WSH,Daniel Gafford,Personal Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,56,64,0.157,0.158,8:21
3,8:20,WSH,Daniel Gafford,Technical Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,56,64,0.14,0.157,8:20
3,5:16,WSH,Jordan Poole,Personal Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,65,72,0.173,0.198,5:24
3,3:07,WSH,Bilal Coulibaly,Shooting Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,73,82,0.101,0.138,3:07
3,2:34,WSH,Bilal Coulibaly,Shooting Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,75,82,0.141,0.16,2:34
3,2:20,BKN,Dorian Finney-Smith,Personal Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,75,83,0.161,0.161,2:34
3,31.1,WSH,Mike Muscala,Shooting Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,81,85,0.197,0.248,37.1
4,10:58,BKN,Dennis Smith Jr.,Personal Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,87,86,0.549,0.531,11:08
4,10:10,BKN,Day'Ron Sharpe,Shooting Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,89,86,0.739,0.653,10:21
4,9:21,BKN,Cameron Johnson,Personal Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,89,89,0.525,0.506,9:37
4,8:36,WSH,Mike Muscala,Personal Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,91,91,0.444,0.459,8:40
4,7:40,BKN,Mikal Bridges,Personal Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,94,93,0.676,0.576,7:48
4,5:39,WSH,Mike Muscala,Shooting Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,96,95,0.421,0.538,5:54
4,5:01,BKN,Dennis Smith Jr.,Shooting Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,100,97,0.785,0.678,5:01
4,4:17,WSH,Bilal Coulibaly,Shooting Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,103,97,0.757,0.85,4:31
4,1:53,WSH,Deni Avdija,Shooting Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,108,101,0.876,0.933,1:59
4,59.1,WSH,Deni Avdija,Shooting Foul,Foul,Brian Forte,Brandon Adair,Ashley Moyer-Gleich,WSH,110,102,0.939,0.974,1:03
