Period,Clock,Team,Fouler,Subtype,Descriptor,Official1,Official2,Official3,Home_Team,Home_Score,Away_Score,WinProb_Current,WinProb_Previous,Clock_Previous_WP
1,8:54,SA,Julian Champagnie,Shooting Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,6,8,0.894,0.88,9:04
1,8:21,SA,Julian Champagnie,Shooting Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,8,8,0.91,0.898,8:35
1,6:22,NO,Jonas Valanciunas,Personal Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,14,15,0.865,0.866,6:31
1,5:52,SA,Tre Jones,Shooting Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,14,18,0.856,0.837,6:10
1,2:03,SA,Sandro Mamukelashvili,Shooting Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,25,27,0.849,0.838,2:03
1,1:49,NO,Jordan Hawkins,Personal Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,27,27,0.828,0.852,2:03
1,1:37,NO,Zion Williamson,Shooting Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,27,27,0.837,0.851,1:37
1,28.0,NO,Cody Zeller,Loose Ball Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,30,29,0.833,0.858,28.0
2,11:16,NO,Dyson Daniels,Shooting Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,32,31,0.827,0.85,11:17
2,10:29,SA,Devin Vassell,Personal Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,34,32,0.874,0.875,10:37
2,10:22,SA,Zach Collins,Shooting Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,34,32,0.882,0.874,10:29
2,9:55,SA,Charles Bassey,Shooting Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,38,35,0.893,0.871,9:55
2,9:19,SA,Keldon Johnson,Shooting Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,40,37,0.899,0.881,9:25
2,7:59,NO,Herbert Jones,Shooting Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,42,41,0.801,0.831,8:04
2,7:35,NO,Brandon Ingram,Shooting Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,42,43,0.754,0.791,7:50
2,5:58,SA,Charles Bassey,Shooting Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,42,47,0.74,0.704,6:11
2,5:11,NO,Dyson Daniels,Personal Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,46,49,0.677,0.72,5:29
2,4:53,SA,Malaki Branham,Personal Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,46,49,0.777,0.741,4:59
2,2:26,SA,Devin Vassell,Shooting Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,55,56,0.786,0.743,2:26
2,2:08,NO,Brandon Ingram,Shooting Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,56,56,0.726,0.766,2:26
2,1:13,NO,Zion Williamson,Shooting Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,56,58,0.654,0.734,1:34
2,26.0,SA,Zach Collins,Shooting Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,60,59,0.813,0.773,26.0
3,9:13,SA,Julian Champagnie,Shooting Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,70,67,0.855,0.825,9:14
3,4:38,SA,Cedi Osman,Personal Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,80,69,0.946,0.947,4:45
3,3:50,SA,Charles Bassey,Shooting Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,80,71,0.942,0.925,4:13
3,3:19,NO,Brandon Ingram,Offensive Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,82,71,0.938,0.937,3:50
3,3:10,SA,Charles Bassey,Offensive Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,82,71,0.948,0.938,3:19
4,10:19,NO,Jonas Valanciunas,Shooting Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,93,86,0.82,0.874,10:34
4,9:16,NO,CJ McCollum,Personal Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,93,88,0.797,0.808,9:25
4,8:10,SA,Keldon Johnson,Shooting Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,98,88,0.973,0.955,8:13
4,7:07,NO,Jonas Valanciunas,Offensive Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,103,90,0.98,0.986,7:19
4,6:42,SA,Cedi Osman,Personal Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,103,92,0.976,0.973,6:55
4,5:24,NO,Naji Marshall,Shooting Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,106,94,0.971,0.987,5:24
4,5:14,SA,Jeremy Sochan,Personal Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,106,95,0.983,0.98,5:24
4,3:38,SA,Jeremy Sochan,Shooting Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,110,98,0.997,0.993,3:58
4,3:18,SA,Cedi Osman,Shooting Foul,Foul,Ed Malloy,Scott Wall,Aaron Smith,NO,112,98,0.999,0.998,3:20
