Period,Clock,Team,Fouler,Subtype,Descriptor,Official1,Official2,Official3,Home_Team,Home_Score,Away_Score,WinProb_Current,WinProb_Previous,Clock_Previous_WP
1,8:39,DET,Killian Hayes,Personal Foul,Foul,Bill Kennedy,Rodney Mott,Jenna Schroeder,CHA,4,4,0.633,0.633,8:39
1,7:49,DET,Killian Hayes,Shooting Foul,Foul,Bill Kennedy,Rodney Mott,Jenna Schroeder,CHA,4,7,0.595,0.559,8:07
1,6:15,DET,Ausar Thompson,Personal Foul,Foul,Bill Kennedy,Rodney Mott,Jenna Schroeder,CHA,9,12,0.551,0.551,6:15
1,4:09,DET,Isaiah Stewart,Offensive Foul,Foul,Bill Kennedy,Rodney Mott,Jenna Schroeder,CHA,9,18,0.376,0.35,4:12
1,2:59,CHA,Nick Richards,Shooting Foul,Foul,Bill Kennedy,Rodney Mott,Jenna Schroeder,CHA,12,20,0.33,0.371,3:14
1,2:14,CHA,Brandon Miller,Defensive 3-Seconds Technical,Foul,Bill Kennedy,Rodney Mott,Jenna Schroeder,CHA,16,22,0.431,0.424,2:23
1,1:34,DET,Jaden Ivey,Shooting Foul,Foul,Bill Kennedy,Rodney Mott,Jenna Schroeder,CHA,19,26,0.462,0.422,1:45
1,47.1,CHA,JT Thor,Shooting Foul,Foul,Bill Kennedy,Rodney Mott,Jenna Schroeder,CHA,21,26,0.401,0.443,50.1
1,28.1,CHA,Brandon Miller,Offensive Foul,Foul,Bill Kennedy,Rodney Mott,Jenna Schroeder,CHA,21,29,0.356,0.39,34.1
2,11:45,CHA,P.J. Washington,Loose Ball Foul,Foul,Bill Kennedy,Rodney Mott,Jenna Schroeder,CHA,21,32,0.277,0.274,11:45
2,11:37,DET,Jaden Ivey,Personal Foul,Foul,Bill Kennedy,Rodney Mott,Jenna Schroeder,CHA,21,32,0.297,0.297,11:42
2,11:01,CHA,Nick Richards,Offensive Foul,Foul,Bill Kennedy,Rodney Mott,Jenna Schroeder,CHA,21,34,0.218,0.245,11:23
2,10:23,CHA,P.J. Washington,Loose Ball Foul,Foul,Bill Kennedy,Rodney Mott,Jenna Schroeder,CHA,21,36,0.173,0.173,10:23
2,9:46,DET,Cade Cunningham,Shooting Foul,Foul,Bill Kennedy,Rodney Mott,Jenna Schroeder,CHA,25,36,0.308,0.261,9:46
2,9:46,CHA,Nick Richards,Loose Ball Foul,Foul,Bill Kennedy,Rodney Mott,Jenna Schroeder,CHA,25,36,0.262,0.259,9:46
2,9:02,CHA,Mark Williams,Personal Foul,Foul,Bill Kennedy,Rodney Mott,Jenna Schroeder,CHA,25,36,0.222,0.256,9:08
