Period,Clock,Team,Fouler,Subtype,Descriptor,Official1,Official2,Official3,Home_Team,Home_Score,Away_Score,WinProb_Current,WinProb_Previous,Clock_Previous_WP
1,10:10,ATL,Clint Capela,Personal Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,5,6,0.461,0.457,10:12
1,9:07,ATL,Jalen Johnson,Shooting Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,8,8,0.468,0.488,9:07
1,7:14,MEM,Jacob Gilyard,Personal Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,12,16,0.407,0.408,7:19
1,5:11,MEM,Ziaire Williams,Shooting Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,18,21,0.453,0.406,5:11
1,4:23,MEM,Shaquille Harrison,Personal Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,18,23,0.378,0.377,4:36
1,3:29,ATL,Bogdan Bogdanovic,Shooting Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,20,25,0.312,0.349,3:38
1,3:17,MEM,Matt Hurt,Shooting Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,20,26,0.39,0.376,3:17
1,3:07,ATL,Bruno Fernando,Shooting Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,22,26,0.339,0.375,3:16
1,2:47,MEM,Kenneth Lofton Jr.,Personal Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,22,26,0.444,0.403,3:03
1,37.1,ATL,Trae Young,Personal Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,29,30,0.416,0.451,37.1
2,11:00,ATL,Trae Young,Personal Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,29,31,0.426,0.454,11:14
2,10:25,MEM,Kenneth Lofton Jr.,Loose Ball Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,32,31,0.543,0.547,10:25
2,7:00,MEM,David Roddy,Shooting Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,44,39,0.707,0.667,7:03
2,5:33,ATL,Jalen Johnson,Personal Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,50,41,0.751,0.75,5:43
2,3:49,ATL,Kobe Bufkin,Personal Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,55,45,0.782,0.784,3:57
2,2:30,ATL,Bogdan Bogdanovic,Shooting Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,57,45,0.799,0.833,2:34
3,10:03,MEM,Santi Aldama,Shooting Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,64,58,0.772,0.73,10:18
3,9:42,ATL,Bruno Fernando,Offensive Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,66,58,0.759,0.787,9:50
3,9:37,ATL,Mouhamed Gueye,Personal Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,66,58,0.758,0.759,9:42
3,8:58,MEM,Vince Williams Jr.,Shooting Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,66,58,0.81,0.791,8:58
3,5:45,ATL,Kobe Bufkin,Shooting Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,75,64,0.844,0.883,5:45
3,5:08,ATL,Mouhamed Gueye,Offensive Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,78,67,0.866,0.886,5:20
3,4:37,ATL,Bruno Fernando,Loose Ball Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,80,67,0.91,0.909,4:37
3,3:23,ATL,Bruno Fernando,Offensive Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,80,69,0.878,0.898,3:40
3,1:46,MEM,Matt Hurt,Loose Ball Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,82,73,0.902,0.869,1:46
3,2.1,ATL,AJ Griffin,Personal Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,84,73,0.869,0.908,4.0
4,8:14,MEM,Vince Williams Jr.,Shooting Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,89,81,0.934,0.894,8:37
4,6:43,ATL,Seth Lundy,Shooting Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,93,81,0.942,0.965,6:57
4,5:58,ATL,Garrison Mathews,Personal Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,93,83,0.938,0.943,6:08
4,5:36,MEM,Shaquille Harrison,Personal Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,93,83,0.966,0.962,5:43
4,2:52,MEM,Vince Williams Jr.,Technical Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,96,94,0.769,0.714,2:59
4,2:52,ATL,Garrison Mathews,Technical Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,96,94,0.564,0.769,2:52
4,2:02,ATL,Trent Forrest,Shooting Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,96,94,0.472,0.642,2:07
4,1:44,ATL,Bruno Fernando,Shooting Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,96,96,0.284,0.452,1:46
4,1:22,ATL,Garrison Mathews,Personal Foul,Foul,Courtney Kirkland,Michael Smith,Brandon Schwab,ATL,98,97,0.37,0.523,1:32
