Period,Clock,Team,Fouler,Subtype,Descriptor,Official1,Official2,Official3,Home_Team,Home_Score,Away_Score,WinProb_Current,WinProb_Previous,Clock_Previous_WP
1,8:19,DAL,Dereck Lively II,Shooting Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,6,11,0.417,0.38,8:29
1,7:05,MIL,Malik Beasley,Shooting Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,14,13,0.488,0.536,7:05
1,4:19,DAL,Luka Doncic,Personal Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,19,21,0.454,0.454,4:19
1,2:30,MIL,Damian Lillard,Personal Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,26,24,0.537,0.536,2:43
1,2:24,MIL,Cameron Payne,Shooting Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,26,26,0.459,0.508,2:24
1,2:00,MIL,Pat Connaughton,Personal Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,28,27,0.466,0.509,2:09
2,11:06,MIL,Giannis Antetokounmpo,Personal Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,33,34,0.453,0.449,11:25
2,5:10,MIL,AJ Green,Personal Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,55,44,0.802,0.8,5:12
2,1:55,DAL,Dwight Powell,Shooting Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,57,53,0.693,0.648,2:18
2,1:13,DAL,Dereck Lively II,Offensive Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,59,55,0.649,0.615,1:21
2,33.1,DAL,Dereck Lively II,Defensive 3-Seconds Technical,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,59,55,0.641,0.65,43.1
2,29.2,MIL,Giannis Antetokounmpo,Offensive Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,60,55,0.65,0.684,33.1
3,9:00,MIL,Brook Lopez,Defensive 3-Seconds Technical,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,60,67,0.242,0.232,9:09
3,8:54,MIL,Andre Jackson Jr.,Shooting Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,60,70,0.141,0.181,8:54
3,8:17,DAL,Dereck Lively II,Shooting Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,60,71,0.191,0.154,8:28
3,7:33,DAL,Dereck Lively II,Shooting Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,63,73,0.192,0.148,7:33
3,6:52,MIL,Giannis Antetokounmpo,Personal Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,64,75,0.123,0.122,6:54
3,6:03,DAL,Josh Green,Shooting Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,66,78,0.151,0.118,6:24
3,4:18,MIL,Damian Lillard,Shooting Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,74,82,0.157,0.206,4:18
3,2:22,MIL,Cameron Payne,Shooting Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,81,87,0.199,0.263,2:22
3,15.1,DAL,Kyrie Irving,Personal Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,87,98,0.132,0.098,31.1
4,11:39,DAL,Kyrie Irving,Shooting Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,91,98,0.241,0.164,11:39
4,11:27,MIL,Cameron Payne,Personal Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,91,98,0.158,0.168,11:35
4,9:04,MIL,Cameron Payne,Shooting Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,99,108,0.054,0.113,9:04
4,7:31,DAL,Derrick Jones Jr.,Personal Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,103,111,0.132,0.126,7:49
4,6:18,DAL,Grant Williams,Personal Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,105,111,0.198,0.183,6:23
4,5:08,MIL,Malik Beasley,Shooting Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,112,113,0.282,0.402,5:17
4,5:06,DAL,Dereck Lively II,Personal Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,112,113,0.587,0.465,5:06
4,4:34,DAL,Kyrie Irving,Shooting Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,114,113,0.724,0.623,4:48
4,3:38,DAL,Dwight Powell,Shooting Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,120,117,0.85,0.766,3:51
4,2:15,DAL,Kyrie Irving,Loose Ball Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,125,120,0.952,0.914,2:15
4,8:12,DAL,Dwight Powell,Personal Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,104,111,0.242,0.952,2:15
4,1:29,MIL,Malik Beasley,Personal Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,127,122,0.766,0.547,5:06
4,1:26,MIL,Brook Lopez,Shooting Foul,Foul,Pat Fraher,Ray Acosta,Suyash Mehta,MIL,127,124,0.656,0.815,1:26
