Period,Clock,Team,Fouler,Subtype,Descriptor,Official1,Official2,Official3,Home_Team,Home_Score,Away_Score,WinProb_Current,WinProb_Previous,Clock_Previous_WP
1,10:06,NY,Jalen Brunson,Shooting Foul,Foul,Marc Davis,Ben Taylor,J.B. DeRosa,BOS,3,4,0.692,0.659,10:10
1,9:32,BOS,Jaylen Brown,Personal Foul,Foul,Marc Davis,Ben Taylor,J.B. DeRosa,BOS,5,4,0.68,0.678,9:42
1,9:01,NY,Josh Hart,Shooting Foul,Foul,Marc Davis,Ben Taylor,J.B. DeRosa,BOS,5,6,0.671,0.654,9:01
1,8:27,NY,Karl-Anthony Towns,Shooting Foul,Foul,Marc Davis,Ben Taylor,J.B. DeRosa,BOS,6,8,0.662,0.629,8:41
1,8:06,NY,Josh Hart,Personal Foul,Foul,Marc Davis,Ben Taylor,J.B. DeRosa,BOS,7,8,0.684,0.649,8:06
1,7:07,NY,Karl-Anthony Towns,Shooting Foul,Foul,Marc Davis,Ben Taylor,J.B. DeRosa,BOS,10,11,0.664,0.646,7:22
1,2:07,BOS,Jayson Tatum,Personal Foul,Foul,Marc Davis,Ben Taylor,J.B. DeRosa,BOS,21,20,0.654,0.654,2:16
1,1:59,BOS,Al Horford,Personal Foul,Foul,Marc Davis,Ben Taylor,J.B. DeRosa,BOS,21,20,0.613,0.653,2:07
1,1:17,BOS,Al Horford,Shooting Foul,Foul,Marc Davis,Ben Taylor,J.B. DeRosa,BOS,21,22,0.559,0.595,1:34
1,1:08,NY,Cameron Payne,Personal Foul,Foul,Marc Davis,Ben Taylor,J.B. DeRosa,BOS,21,22,0.667,0.625,1:17
1,1:03,BOS,Luke Kornet,Personal Foul,Foul,Marc Davis,Ben Taylor,J.B. DeRosa,BOS,23,22,0.608,0.652,1:08
1,40.0,BOS,Luke Kornet,Shooting Foul,Foul,Marc Davis,Ben Taylor,J.B. DeRosa,BOS,26,22,0.689,0.725,41.0
