Period,Clock,Team,Fouler,Subtype,Descriptor,Official1,Official2,Official3,Home_Team,Home_Score,Away_Score,WinProb_Current,WinProb_Previous,Clock_Previous_WP
1,11:31,HOU,Tari Eason,Personal Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,2,0,0.739,0.739,11:41
1,11:10,MIN,Mike Conley,Shooting Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,4,3,0.751,0.717,11:10
1,10:48,HOU,Alperen Sengun,Offensive Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,5,5,0.693,0.716,11:02
1,10:10,MIN,Naz Reid,Shooting Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,5,5,0.742,0.714,10:28
1,9:06,HOU,Dillon Brooks,Shooting Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,9,8,0.676,0.709,9:24
1,8:35,HOU,Alperen Sengun,Loose Ball Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,11,10,0.709,0.707,8:35
1,8:18,MIN,Mike Conley,Shooting Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,14,12,0.761,0.727,8:18
1,7:09,MIN,Anthony Edwards,Technical Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,19,14,0.778,0.782,7:09
1,6:22,HOU,Jabari Smith Jr.,Shooting Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,23,16,0.789,0.815,6:41
1,3:47,HOU,Dillon Brooks,Personal Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,35,21,0.891,0.908,4:01
1,3:39,MIN,Luka Garza,Shooting Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,35,23,0.912,0.897,3:47
1,2:10,HOU,Jae'Sean Tate,Loose Ball Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,39,29,0.833,0.857,2:10
1,1:57,HOU,Steven Adams,Loose Ball Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,39,31,0.798,0.824,1:57
1,29.1,MIN,Luka Garza,Shooting Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,44,36,0.866,0.843,37.1
1,13.1,MIN,MIN,Technical Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,45,38,0.838,0.826,14.1
2,9:42,MIN,Mike Conley,Personal Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,50,44,0.803,0.804,9:58
2,8:59,MIN,Terrence Shannon Jr.,Personal Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,50,47,0.737,0.74,9:18
2,7:42,HOU,Dillon Brooks,Personal Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,52,49,0.709,0.71,7:53
2,6:58,MIN,Naz Reid,Shooting Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,52,49,0.768,0.733,7:12
2,6:47,HOU,Jabari Smith Jr.,Shooting Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,53,49,0.694,0.733,6:58
2,3:23,HOU,Tari Eason,Shooting Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,61,58,0.655,0.697,3:31
2,35.2,MIN,Nickeil Alexander-Walker,Loose Ball Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,68,65,0.762,0.692,35.2
3,12:00,HOU,Jalen Green,Technical Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,68,67,0.599,0.641,12:00
3,10:38,HOU,Tari Eason,Shooting Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,72,69,0.637,0.688,10:54
3,9:41,HOU,Dillon Brooks,Personal Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,72,73,0.546,0.544,9:49
3,8:46,MIN,Naz Reid,Shooting Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,72,73,0.632,0.578,9:04
3,7:08,MIN,Naz Reid,Shooting Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,78,76,0.729,0.682,7:26
3,5:06,HOU,Alperen Sengun,Offensive Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,82,78,0.711,0.747,5:22
3,4:34,HOU,Amen Thompson,Shooting Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,82,80,0.575,0.637,4:41
3,4:23,MIN,Luka Garza,Shooting Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,84,82,0.703,0.637,4:23
3,3:50,HOU,Jabari Smith Jr.,Offensive Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,85,84,0.593,0.637,4:06
3,2:51,HOU,Aaron Holiday,Shooting Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,88,88,0.511,0.59,2:51
3,2:00,MIN,Luka Garza,Personal Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,90,91,0.61,0.543,2:14
3,46.1,MIN,Nickeil Alexander-Walker,Shooting Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,96,91,0.839,0.79,50.0
3,20.0,HOU,Amen Thompson,Shooting Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,98,91,0.769,0.823,21.1
4,9:18,MIN,Naz Reid,Shooting Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,102,97,0.868,0.809,9:40
4,8:31,HOU,Tari Eason,Offensive Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,103,97,0.816,0.852,8:38
4,8:26,HOU,Jabari Smith Jr.,Personal Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,103,97,0.807,0.816,8:31
4,8:21,HOU,Tari Eason,Shooting Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,103,99,0.672,0.774,8:21
4,7:45,MIN,Nickeil Alexander-Walker,Shooting Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,105,103,0.762,0.671,7:56
4,6:48,MIN,Jaden McDaniels,Shooting Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,106,105,0.731,0.624,7:04
4,4:21,MIN,Jaden McDaniels,Loose Ball Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,111,108,0.854,0.772,4:21
4,3:35,MIN,Mike Conley,Personal Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,111,108,0.867,0.792,3:35
4,3:23,HOU,Amen Thompson,Personal Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,113,108,0.827,0.842,3:35
4,2:40,MIN,Anthony Edwards,Double Personal Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,113,110,0.883,0.8,2:52
4,32.1,HOU,Jabari Smith Jr.,Offensive Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,117,110,0.979,0.992,33.1
4,25.1,MIN,Anthony Edwards,Personal Take Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,117,112,0.989,0.964,28.0
4,9.0,HOU,Jabari Smith Jr.,Shooting Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,119,112,0.973,0.99,13.1
4,6.1,MIN,Jaden McDaniels,Personal Take Foul,Foul,Jason Goldenberg,Nick Buchert,Andy Nagy,HOU,119,115,0.993,0.966,9.0
