Period,Clock,Team,Fouler,Subtype,Descriptor,Official1,Official2,Official3,Home_Team,Home_Score,Away_Score,WinProb_Current,WinProb_Previous,Clock_Previous_WP
1,11:30,IND,Aaron Nesmith,Personal Foul,Foul,James Williams,John Goble,Marc Davis,OKC,0,0,0.618,0.617,11:30
1,9:59,IND,Andrew Nembhard,Shooting Foul,Foul,James Williams,John Goble,Marc Davis,OKC,4,7,0.579,0.543,10:09
1,8:40,OKC,Luguentz Dort,Personal Foul,Foul,James Williams,John Goble,Marc Davis,OKC,13,12,0.614,0.613,8:52
1,7:08,IND,IND,Technical Foul,Foul,James Williams,John Goble,Marc Davis,OKC,19,12,0.783,0.748,7:08
1,6:27,OKC,Shai Gilgeous-Alexander,Shooting Foul,Foul,James Williams,John Goble,Marc Davis,OKC,22,14,0.753,0.788,6:27
1,5:17,IND,T.J. McConnell,Shooting Foul,Foul,James Williams,John Goble,Marc Davis,OKC,22,14,0.815,0.788,5:19
1,4:58,OKC,Luguentz Dort,Offensive Foul,Foul,James Williams,John Goble,Marc Davis,OKC,23,14,0.787,0.806,5:04
1,4:45,OKC,Jalen Williams,Shooting Foul,Foul,James Williams,John Goble,Marc Davis,OKC,23,14,0.757,0.787,4:58
1,3:50,OKC,Isaiah Hartenstein,Shooting Foul,Foul,James Williams,John Goble,Marc Davis,OKC,23,15,0.752,0.768,3:50
1,1:56,IND,Tony Bradley,Offensive Foul,Foul,James Williams,John Goble,Marc Davis,OKC,29,19,0.827,0.808,2:01
1,27.0,IND,Bennedict Mathurin,Personal Foul,Foul,James Williams,John Goble,Marc Davis,OKC,29,22,0.802,0.77,45.0
2,9:24,OKC,Cason Wallace,Shooting Foul,Foul,James Williams,John Goble,Marc Davis,OKC,35,24,0.804,0.834,9:39
2,8:27,IND,Myles Turner,Shooting Foul,Foul,James Williams,John Goble,Marc Davis,OKC,38,29,0.843,0.816,8:41
2,7:14,IND,Tyrese Haliburton,Shooting Foul,Foul,James Williams,John Goble,Marc Davis,OKC,44,32,0.882,0.854,7:14
2,6:10,OKC,Aaron Wiggins,Personal Foul,Foul,James Williams,John Goble,Marc Davis,OKC,45,32,0.873,0.872,6:31
2,5:22,OKC,Isaiah Hartenstein,Shooting Foul,Foul,James Williams,John Goble,Marc Davis,OKC,47,32,0.882,0.904,5:31
2,4:57,OKC,Jalen Williams,Personal Foul,Foul,James Williams,John Goble,Marc Davis,OKC,47,34,0.85,0.876,5:00
2,4:28,IND,Myles Turner,Shooting Foul,Foul,James Williams,John Goble,Marc Davis,OKC,47,36,0.884,0.861,4:48
2,4:15,IND,Pascal Siakam,Loose Ball Foul,Foul,James Williams,John Goble,Marc Davis,OKC,49,36,0.913,0.892,4:15
2,2:29,IND,Andrew Nembhard,Personal Foul,Foul,James Williams,John Goble,Marc Davis,OKC,54,38,0.947,0.935,2:38
2,2:10,OKC,Alex Caruso,Shooting Foul,Foul,James Williams,John Goble,Marc Davis,OKC,56,40,0.915,0.937,2:10
2,1:44,OKC,Alex Caruso,Shooting Foul,Foul,James Williams,John Goble,Marc Davis,OKC,56,41,0.891,0.914,1:48
2,1:01,OKC,Shai Gilgeous-Alexander,Shooting Foul,Foul,James Williams,John Goble,Marc Davis,OKC,56,41,0.893,0.916,1:06
3,11:48,OKC,Shai Gilgeous-Alexander,Offensive Foul,Foul,James Williams,John Goble,Marc Davis,OKC,59,45,0.904,0.91,12:00
3,11:09,OKC,Isaiah Hartenstein,Shooting Foul,Foul,James Williams,John Goble,Marc Davis,OKC,61,45,0.914,0.933,11:28
