Period,Clock,Team,Fouler,Subtype,Descriptor,Official1,Official2,Official3,Home_Team,Home_Score,Away_Score,WinProb_Current,WinProb_Previous,Clock_Previous_WP
1,11:31,ATL,Onyeka Okongwu,Loose Ball Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,0,0,0.639,0.639,11:31
1,10:21,MEM,Jaren Jackson Jr.,Shooting Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,2,4,0.528,0.564,10:24
1,9:58,MEM,Jaylen Wells,Personal Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,4,5,0.591,0.59,10:01
1,6:16,MEM,Zach Edey,Shooting Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,14,11,0.642,0.678,6:22
1,5:57,MEM,Brandon Clarke,Shooting Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,14,13,0.61,0.629,5:59
1,2:48,ATL,Terance Mann,Personal Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,23,22,0.649,0.647,2:48
1,2:46,ATL,Caris LeVert,Personal Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,23,22,0.65,0.665,2:48
1,1:57,MEM,Brandon Clarke,Shooting Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,27,22,0.682,0.718,1:58
1,9.1,MEM,Scotty Pippen Jr.,Personal Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,32,28,0.653,0.695,27.1
1,4.0,ATL,Dyson Daniels,Shooting Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,32,28,0.75,0.716,7.1
2,10:38,ATL,Clint Capela,Loose Ball Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,37,30,0.783,0.784,10:38
2,10:03,ATL,Garrison Mathews,Shooting Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,39,32,0.798,0.761,10:03
2,9:49,ATL,Garrison Mathews,Personal Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,40,32,0.802,0.805,9:53
2,9:10,MEM,Luke Kennard,Shooting Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,40,34,0.719,0.761,9:10
2,8:50,ATL,Zaccharie Risacher,Personal Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,40,35,0.772,0.739,8:52
2,7:24,MEM,Zach Edey,Personal Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,44,40,0.686,0.686,7:36
2,6:43,MEM,Vince Williams Jr.,Personal Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,44,43,0.599,0.601,6:59
2,6:29,ATL,Garrison Mathews,Personal Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,44,45,0.614,0.569,6:38
2,6:01,ATL,Dominick Barlow,Shooting Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,45,47,0.583,0.536,6:16
2,4:55,ATL,Dyson Daniels,Shooting Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,52,49,0.725,0.684,5:04
2,4:38,MEM,Desmond Bane,Shooting Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,54,51,0.633,0.683,4:38
2,3:50,ATL,Onyeka Okongwu,Loose Ball Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,58,54,0.751,0.713,3:50
3,11:44,ATL,Zaccharie Risacher,Shooting Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,67,70,0.504,0.44,11:44
3,11:15,ATL,Trae Young,Shooting Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,68,70,0.563,0.51,11:23
3,9:30,ATL,Trae Young,Technical Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,75,77,0.532,0.505,9:38
3,8:03,ATL,Trae Young,Offensive Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,82,82,0.575,0.533,8:12
3,5:48,ATL,Dyson Daniels,Personal Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,87,87,0.57,0.571,6:01
3,5:48,MEM,MEM,Delay Technical,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,87,87,0.541,0.57,5:48
3,5:09,ATL,Keaton Wallace,Shooting Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,87,87,0.63,0.569,5:12
3,4:48,MEM,GG Jackson,Shooting Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,89,87,0.545,0.609,5:09
3,4:15,MEM,Desmond Bane,Personal Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,91,88,0.65,0.648,4:15
3,4:09,MEM,Vince Williams Jr.,Personal Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,91,88,0.648,0.65,4:15
3,3:51,ATL,Terance Mann,Shooting Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,91,91,0.629,0.565,4:04
3,1:50,ATL,Dyson Daniels,Shooting Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,101,97,0.759,0.733,1:50
3,1:13,ATL,Onyeka Okongwu,Shooting Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,102,99,0.726,0.694,1:15
3,1:13,ATL,ATL,Delay Technical,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,102,99,0.683,0.726,1:13
3,34.1,MEM,Desmond Bane,Shooting Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,107,101,0.739,0.77,34.1
4,11:48,MEM,Jaylen Wells,Personal Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,107,101,0.771,0.817,11:52
4,10:27,ATL,Terance Mann,Personal Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,112,105,0.864,0.857,10:31
4,10:12,ATL,Clint Capela,Shooting Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,114,105,0.931,0.886,10:12
4,4:46,ATL,Dyson Daniels,Personal Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,126,118,0.951,0.942,5:06
4,50.0,ATL,Caris LeVert,Personal Foul,Foul,John Goble,Ray Acosta,Jonathan Sterling,MEM,130,130,0.752,0.566,56.0
