Period,Clock,Team,Fouler,Subtype,Descriptor,Official1,Official2,Official3,Home_Team,Home_Score,Away_Score,WinProb_Current,WinProb_Previous,Clock_Previous_WP
1,9:53,MIA,Alec Burks,Personal Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,8,5,0.323,0.326,10:03
1,9:10,PHI,Justin Edwards,Shooting Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,8,8,0.218,0.264,9:16
1,8:57,PHI,Jared Butler,Loose Ball Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,8,10,0.21,0.209,8:57
1,8:42,PHI,Quentin Grimes,Shooting Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,8,10,0.187,0.21,8:57
1,8:03,PHI,Guerschon Yabusele,Personal Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,11,11,0.224,0.251,8:03
1,6:44,MIA,Bam Adebayo,Shooting Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,14,17,0.247,0.218,7:09
1,5:34,MIA,Pelle Larsson,Shooting Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,19,22,0.237,0.204,5:34
1,3:31,PHI,Jalen Hood-Schifino,Defensive 3-Seconds Technical,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,22,24,0.234,0.23,3:44
1,2:00,MIA,Kyle Anderson,Personal Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,24,30,0.206,0.179,2:05
1,1:11,MIA,Tyler Herro,Shooting Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,26,30,0.232,0.199,1:11
1,39.0,PHI,Quentin Grimes,Shooting Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,29,30,0.231,0.256,56.0
2,11:48,PHI,Justin Edwards,Personal Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,29,34,0.183,0.193,12:00
2,11:35,PHI,Jalen Hood-Schifino,Shooting Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,29,34,0.16,0.183,11:48
2,9:49,PHI,Guerschon Yabusele,Shooting Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,34,41,0.143,0.17,9:49
2,8:41,MIA,Davion Mitchell,Shooting Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,36,44,0.168,0.138,8:41
2,3:05,MIA,Pelle Larsson,Shooting Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,51,54,0.294,0.248,3:05
2,1:02,MIA,Haywood Highsmith,Shooting Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,52,57,0.267,0.226,1:06
2,2.0,MIA,Kel'el Ware,Shooting Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,52,61,0.171,0.14,21.0
2,0.1,PHI,Jared Butler,Shooting Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,53,61,0.116,0.142,2.0
3,11:44,PHI,Justin Edwards,Personal Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,53,62,0.125,0.134,12:00
3,8:21,PHI,Justin Edwards,Personal Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,59,66,0.162,0.159,8:22
3,8:04,MIA,Alec Burks,Shooting Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,59,66,0.223,0.182,8:12
3,2:51,PHI,Adem Bona,Offensive Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,73,85,0.056,0.07,3:03
3,2:32,PHI,Marcus Bagley,Shooting Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,73,87,0.029,0.043,2:32
4,4:35,MIA,Haywood Highsmith,Personal Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,89,108,0.001,0.001,4:36
4,4:02,PHI,Jared Butler,Personal Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,91,108,0.001,0.001,4:19
4,3:14,MIA,Davion Mitchell,Personal Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,91,110,0.001,0.001,3:16
4,36.1,PHI,Adem Bona,Loose Ball Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,94,118,0.001,0.001,36.1
4,16.1,MIA,Pelle Larsson,Shooting Foul,Foul,J.T. Orr,Ben Taylor,Matt Myers,PHI,94,118,0.001,0.001,24.1
