Period,Clock,Team,Fouler,Subtype,Descriptor,Official1,Official2,Official3,Home_Team,Home_Score,Away_Score,WinProb_Current,WinProb_Previous,Clock_Previous_WP
1,6:03,SA,Chris Paul,Loose Ball Foul,Foul,Ben Taylor,Jonathan Sterling,John Butler,CHI,8,15,0.358,0.356,6:03
2,11:01,CHI,Coby White,Personal Foul,Foul,Ben Taylor,Jonathan Sterling,John Butler,CHI,20,29,0.261,0.261,11:13
2,9:14,SA,Keldon Johnson,Personal Foul,Foul,Ben Taylor,Jonathan Sterling,John Butler,CHI,22,37,0.148,0.147,9:24
2,6:03,SA,Harrison Barnes,Personal Foul,Foul,Ben Taylor,Jonathan Sterling,John Butler,CHI,32,45,0.172,0.172,6:03
2,3:56,SA,Jeremy Sochan,Personal Foul,Foul,Ben Taylor,Jonathan Sterling,John Butler,CHI,38,53,0.122,0.125,4:04
2,3:29,CHI,Coby White,Shooting Foul,Foul,Ben Taylor,Jonathan Sterling,John Butler,CHI,40,53,0.113,0.139,3:32
2,2:52,SA,Charles Bassey,Shooting Foul,Foul,Ben Taylor,Jonathan Sterling,John Butler,CHI,44,56,0.195,0.155,2:52
3,11:02,CHI,Zach LaVine,Shooting Foul,Foul,Ben Taylor,Jonathan Sterling,John Butler,CHI,50,67,0.044,0.058,11:09
3,5:08,CHI,Nikola Vucevic,Shooting Foul,Foul,Ben Taylor,Jonathan Sterling,John Butler,CHI,71,79,0.151,0.192,5:24
3,4:09,SA,Keldon Johnson,Personal Foul,Foul,Ben Taylor,Jonathan Sterling,John Butler,CHI,73,86,0.091,0.091,4:18
3,3:59,SA,Stephon Castle,Shooting Foul,Foul,Ben Taylor,Jonathan Sterling,John Butler,CHI,73,86,0.12,0.091,4:09
3,3:18,CHI,Nikola Vucevic,Personal Foul,Foul,Ben Taylor,Jonathan Sterling,John Butler,CHI,75,86,0.103,0.103,3:28
3,1:41,SA,Julian Champagnie,Personal Foul,Foul,Ben Taylor,Jonathan Sterling,John Butler,CHI,79,92,0.102,0.073,1:41
3,1:04,SA,Victor Wembanyama,Shooting Foul,Foul,Ben Taylor,Jonathan Sterling,John Butler,CHI,79,92,0.097,0.068,1:07
4,9:25,CHI,Patrick Williams,Shooting Foul,Foul,Ben Taylor,Jonathan Sterling,John Butler,CHI,90,99,0.059,0.092,9:30
4,9:15,CHI,Coby White,Shooting Foul,Foul,Ben Taylor,Jonathan Sterling,John Butler,CHI,90,99,0.056,0.089,9:23
4,8:53,SA,Victor Wembanyama,Personal Foul,Foul,Ben Taylor,Jonathan Sterling,John Butler,CHI,92,100,0.147,0.135,8:53
4,8:43,SA,Tre Jones,Offensive Foul,Foul,Ben Taylor,Jonathan Sterling,John Butler,CHI,92,100,0.139,0.107,8:46
4,8:35,SA,Stephon Castle,Personal Foul,Foul,Ben Taylor,Jonathan Sterling,John Butler,CHI,92,100,0.149,0.139,8:43
4,7:48,SA,Victor Wembanyama,Shooting Foul,Foul,Ben Taylor,Jonathan Sterling,John Butler,CHI,92,100,0.174,0.134,7:48
4,7:20,SA,Stephon Castle,Shooting Foul,Foul,Ben Taylor,Jonathan Sterling,John Butler,CHI,94,102,0.198,0.136,7:33
4,6:32,CHI,Lonzo Ball,Shooting Foul,Foul,Ben Taylor,Jonathan Sterling,John Butler,CHI,99,102,0.212,0.311,6:53
4,5:59,CHI,Patrick Williams,Loose Ball Foul,Foul,Ben Taylor,Jonathan Sterling,John Butler,CHI,99,103,0.159,0.237,5:59
4,5:19,SA,Charles Bassey,Shooting Foul,Foul,Ben Taylor,Jonathan Sterling,John Butler,CHI,99,103,0.369,0.275,5:25
4,4:10,SA,Chris Paul,Personal Foul,Foul,Ben Taylor,Jonathan Sterling,John Butler,CHI,101,107,0.231,0.156,4:25
4,3:19,SA,Charles Bassey,Offensive Foul,Foul,Ben Taylor,Jonathan Sterling,John Butler,CHI,103,110,0.093,0.066,3:29
4,5.1,SA,Chris Paul,Personal Foul,Foul,Ben Taylor,Jonathan Sterling,John Butler,CHI,113,110,0.984,0.954,5.1
