Period,Clock,Team,Fouler,Subtype,Descriptor,Official1,Official2,Official3,Home_Team,Home_Score,Away_Score,WinProb_Current,WinProb_Previous,Clock_Previous_WP
1,10:09,DAL,Daniel Gafford,Shooting Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,3,4,0.631,0.596,10:22
1,7:55,POR,Jerami Grant,Shooting Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,13,6,0.72,0.752,8:01
1,7:38,DAL,P.J. Washington,Shooting Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,13,7,0.779,0.751,7:46
1,5:43,DAL,Dwight Powell,Shooting Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,18,10,0.816,0.789,5:57
1,5:32,POR,Deandre Ayton,Shooting Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,20,12,0.754,0.789,5:32
1,4:26,POR,Jerami Grant,Shooting Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,22,12,0.779,0.809,4:47
1,3:31,POR,Anfernee Simons,Shooting Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,22,19,0.638,0.681,3:31
2,11:49,POR,Kris Murray,Personal Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,29,25,0.679,0.691,12:00
2,10:45,POR,Deni Avdija,Personal Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,33,25,0.773,0.771,10:52
2,10:13,POR,Jabari Walker,Personal Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,33,27,0.728,0.728,10:22
2,9:29,DAL,Dwight Powell,Shooting Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,33,29,0.74,0.706,9:37
2,8:44,DAL,Luka Doncic,Personal Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,36,32,0.702,0.704,8:49
2,8:25,POR,Anfernee Simons,Personal Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,36,32,0.635,0.676,8:36
2,7:33,POR,Anfernee Simons,Shooting Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,38,32,0.688,0.727,7:46
2,7:15,POR,Anfernee Simons,Shooting Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,38,34,0.634,0.675,7:21
2,6:59,POR,Toumani Camara,Shooting Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,38,38,0.536,0.59,6:59
2,6:47,DAL,Maxi Kleber,Shooting Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,40,39,0.641,0.588,6:47
2,5:45,DAL,Quentin Grimes,Personal Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,43,41,0.69,0.648,5:56
2,3:33,POR,Rayan Rupert,Shooting Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,48,45,0.62,0.676,3:33
2,2:23,DAL,Spencer Dinwiddie,Shooting Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,50,51,0.595,0.547,2:36
2,2:00,POR,Deandre Ayton,Offensive Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,52,53,0.511,0.546,2:13
3,7:46,POR,Deandre Ayton,Shooting Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,69,79,0.141,0.177,7:59
3,7:35,DAL,P.J. Washington,Personal Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,69,80,0.174,0.177,7:45
3,7:30,DAL,Daniel Gafford,Shooting Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,71,80,0.256,0.2,7:30
3,6:34,DAL,Quentin Grimes,Shooting Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,74,80,0.382,0.329,6:54
3,2:41,POR,Deandre Ayton,Shooting Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,90,89,0.523,0.602,2:41
3,12.0,POR,Anfernee Simons,Shooting Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,95,95,0.43,0.553,30.1
4,11:45,POR,Deandre Ayton,Offensive Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,97,100,0.348,0.372,12:00
4,8:15,POR,Jabari Walker,Personal Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,103,112,0.08,0.086,8:24
4,8:14,POR,Jabari Walker,Shooting Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,103,112,0.062,0.08,8:15
4,8:12,POR,Anfernee Simons,Loose Ball Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,103,113,0.054,0.06,8:12
4,7:22,DAL,Jaden Hardy,Personal Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,106,113,0.162,0.154,7:28
4,6:55,POR,Deni Avdija,Shooting Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,109,113,0.19,0.236,7:11
4,5:10,POR,Jerami Grant,Loose Ball Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,114,119,0.096,0.148,5:10
4,1:54,DAL,Spencer Dinwiddie,Shooting Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,126,127,0.528,0.341,1:54
4,42.1,POR,Deni Avdija,Personal Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,129,130,0.189,0.339,49.1
4,24.1,POR,Shaedon Sharpe,Personal Take Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,129,134,0.012,0.042,27.1
4,17.2,DAL,Luka Doncic,Shooting Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,129,136,0.047,0.019,24.1
4,16.0,POR,Shaedon Sharpe,Personal Take Foul,Foul,John Goble,Nick Buchert,Matt Kallio,POR,131,136,0.007,0.028,17.2
