Period,Clock,Team,Fouler,Subtype,Descriptor,Official1,Official2,Official3,Home_Team,Home_Score,Away_Score,WinProb_Current,WinProb_Previous,Clock_Previous_WP
1,11:14,PHX,Mikal Bridges,Shooting Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,2,0,0.789,0.813,11:17
1,5:50,IND,Justin Holiday,Personal Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,12,8,0.839,0.84,6:14
1,3:25,PHX,Bismack Biyombo,Shooting Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,18,17,0.769,0.779,3:25
1,1:51,IND,Chris Duarte,Personal Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,18,20,0.74,0.709,1:58
1,1:20,IND,Isaiah Jackson,Shooting Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,22,20,0.78,0.77,1:20
1,1:05,PHX,Cameron Johnson,Shooting Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,22,20,0.737,0.77,1:18
1,32.9,PHX,Devin Booker,Shooting Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,22,25,0.63,0.673,32.9
1,4.1,IND,Keifer Sykes,Shooting Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,22,25,0.708,0.671,7.5
2,11:51,IND,Lance Stephenson,Offensive Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,24,25,0.72,0.706,12:00
2,11:18,IND,Isaiah Jackson,Shooting Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,26,25,0.791,0.763,11:24
2,10:45,PHX,Cameron Payne,Shooting Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,30,25,0.789,0.697,4.1
2,10:15,PHX,Cameron Payne,Shooting Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,30,28,0.74,0.777,10:15
2,8:29,IND,Jeremy Lamb,Shooting Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,35,33,0.77,0.77,8:29
2,6:55,PHX,JaVale McGee,Shooting Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,43,35,0.834,0.86,7:04
2,6:47,IND,Justin Holiday,Personal Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,43,37,0.842,0.843,6:55
2,6:27,PHX,JaVale McGee,Shooting Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,45,37,0.859,0.859,6:40
2,5:45,IND,Goga Bitadze,Loose Ball Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,47,41,0.831,0.822,5:45
2,5:15,PHX,JaVale McGee,Shooting Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,49,41,0.844,0.857,5:15
2,4:52,PHX,Jae Crowder,Shooting Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,51,45,0.819,0.838,4:52
2,4:44,IND,Justin Holiday,Personal Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,51,46,0.848,0.82,4:52
3,9:08,PHX,JaVale McGee,Loose Ball Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,67,54,0.93,0.932,9:08
3,7:48,IND,Goga Bitadze,Shooting Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,69,59,0.907,0.89,7:48
3,4:33,PHX,Devin Booker,Personal Take Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,79,61,0.98,0.98,4:37
3,2:47,PHX,Cameron Johnson,Shooting Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,81,67,0.958,0.967,2:47
3,2:31,IND,Jeremy Lamb,Shooting Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,83,68,0.978,0.967,2:31
3,2:25,PHX,Landry Shamet,Shooting Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,84,68,0.963,0.974,2:31
3,2:01,PHX,Bismack Biyombo,Shooting Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,87,69,0.978,0.985,2:11
3,1:44,IND,Isaiah Jackson,Personal Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,87,71,0.987,0.98,2:01
4,11:30,PHX,Bismack Biyombo,Shooting Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,94,76,0.992,0.993,11:30
4,9:03,IND,Isaiah Jackson,Personal Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,98,80,0.996,0.995,9:23
4,6:52,IND,Justin Holiday,Personal Take Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,101,87,0.991,0.99,6:53
4,4:27,PHX,Devin Booker,Shooting Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,105,97,0.907,0.953,4:27
4,3:49,IND,Goga Bitadze,Personal Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,105,99,0.921,0.907,3:59
4,2:30,PHX,Cameron Johnson,Personal Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,108,99,0.967,0.973,2:35
4,1:50,IND,Justin Holiday,Shooting Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,108,99,0.986,0.992,1:50
4,40.9,IND,Justin Holiday,Shooting Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,112,101,0.999,0.999,40.9
4,15.6,PHX,Devin Booker,Shooting Foul,Foul,James Capers,J.B. DeRosa,Brandon Adair,PHX,113,101,0.999,0.999,30.9
