Period,Clock,Team,Fouler,Subtype,Descriptor,Official1,Official2,Official3,Home_Team,Home_Score,Away_Score,WinProb_Current,WinProb_Previous,Clock_Previous_WP
1,10:18,DAL,Willie Cauley-Stein,Loose Ball Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,6,2,0.784,0.784,10:18
1,10:02,WSH,Aaron Holiday,Shooting Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,6,5,0.775,0.748,10:11
1,9:29,WSH,Bradley Beal,Shooting Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,6,7,0.735,0.706,9:45
1,8:23,DAL,Luka Doncic,Personal Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,10,9,0.722,0.722,8:36
1,8:23,WSH,Kentavious Caldwell-Pope,Technical Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,10,9,0.757,0.722,8:23
1,8:02,DAL,Willie Cauley-Stein,Offensive Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,10,11,0.676,0.699,8:17
1,6:20,WSH,Kentavious Caldwell-Pope,Shooting Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,15,19,0.656,0.62,6:34
1,5:54,WSH,Deni Avdija,Personal Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,17,19,0.699,0.667,6:00
1,5:20,DAL,Maxi Kleber,Shooting Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,19,21,0.62,0.662,5:20
1,3:47,WSH,Montrezl Harrell,Loose Ball Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,21,28,0.507,0.522,3:47
1,2:02,WSH,Montrezl Harrell,Defensive 3-Seconds Technical,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,26,32,0.529,0.537,2:07
1,41.5,DAL,Maxi Kleber,Shooting Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,34,37,0.543,0.588,52.7
1,2.4,DAL,Trey Burke,Shooting Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,36,40,0.564,0.575,2.4
2,11:49,DAL,Reggie Bullock Jr.,Shooting Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,36,41,0.477,0.538,12:00
2,9:31,DAL,Reggie Bullock Jr.,Personal Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,43,45,0.593,0.593,9:40
2,7:35,WSH,Kyle Kuzma,Personal Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,47,47,0.669,0.671,7:40
2,7:25,WSH,Deni Avdija,Personal Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,47,47,0.668,0.669,7:35
2,5:10,DAL,Tim Hardaway Jr.,Personal Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,56,51,0.764,0.764,5:22
2,4:12,DAL,Sterling Brown,Shooting Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,58,51,0.818,0.808,4:15
2,3:17,DAL,Tim Hardaway Jr.,Shooting Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,58,55,0.666,0.708,3:23
2,1:16,DAL,Tim Hardaway Jr.,Personal Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,65,57,0.793,0.829,1:38
2,14.1,WSH,Bradley Beal,Personal Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,67,61,0.837,0.806,29.9
3,11:13,WSH,Kyle Kuzma,Shooting Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,69,63,0.84,0.809,11:16
3,11:00,WSH,Bradley Beal,Personal Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,71,63,0.85,0.851,11:01
3,10:14,WSH,Daniel Gafford,Shooting Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,71,63,0.876,0.829,10:22
3,9:57,DAL,Willie Cauley-Stein,Shooting Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,71,63,0.791,0.828,10:11
3,6:09,WSH,Daniel Gafford,Shooting Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,76,77,0.572,0.573,6:23
3,4:05,DAL,Dwight Powell,Shooting Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,81,83,0.492,0.47,4:05
3,3:36,WSH,Deni Avdija,Shooting Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,83,85,0.511,0.466,3:36
3,1:56,WSH,Raul Neto,Personal Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,88,89,0.616,0.548,2:08
4,11:40,WSH,Davis Bertans,Personal Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,93,91,0.692,0.671,12:00
4,11:32,WSH,Aaron Holiday,Away from Play Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,93,91,0.684,0.684,11:32
4,9:55,WSH,Aaron Holiday,Shooting Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,97,94,0.811,0.738,10:14
4,9:40,DAL,Kristaps Porzingis,Personal Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,99,94,0.774,0.784,9:55
4,9:14,DAL,Trey Burke,Shooting Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,99,96,0.693,0.743,9:14
4,7:23,WSH,Bradley Beal,Personal Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,99,101,0.563,0.458,7:26
4,6:38,DAL,Maxi Kleber,Shooting Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,102,101,0.467,0.585,6:57
4,6:26,DAL,Luka Doncic,Personal Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,102,102,0.511,0.511,6:26
4,2:11,DAL,Luka Doncic,Personal Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,107,108,0.252,0.375,2:21
4,10.5,DAL,Maxi Kleber,Personal Take Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,114,116,0.061,0.2,23.6
4,0.7,DAL,Kristaps Porzingis,Personal Foul,Foul,John Goble,Karl Lane,Brandon Schwab,DAL,114,118,0.001,0.0,0.0
