Period,Clock,Team,Fouler,Subtype,Descriptor,Official1,Official2,Official3,Home_Team,Home_Score,Away_Score,WinProb_Current,WinProb_Previous,Clock_Previous_WP
1,10:15,BOS,Robert Williams III,Shooting Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,2,4,0.484,0.522,10:23
1,5:56,BOS,Grant Williams,Shooting Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,12,6,0.676,0.713,6:13
1,4:18,WSH,Deni Avdija,Personal Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,14,10,0.69,0.664,4:38
1,2:44,BOS,Josh Richardson,Shooting Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,16,16,0.515,0.557,2:46
1,2:11,WSH,Aaron Holiday,Personal Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,18,21,0.5,0.501,2:17
1,1:58,WSH,Kentavious Caldwell-Pope,Shooting Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,18,21,0.541,0.5,2:11
1,1:33,BOS,Grant Williams,Loose Ball Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,19,21,0.457,0.497,1:33
1,17.6,BOS,Jayson Tatum,Shooting Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,19,23,0.395,0.438,30.7
2,9:17,BOS,Jabari Parker,Personal Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,24,35,0.236,0.234,9:29
2,4:41,WSH,Kyle Kuzma,Shooting Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,36,44,0.36,0.315,5:01
2,4:24,BOS,Jabari Parker,Shooting Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,38,46,0.297,0.313,4:24
2,2:59,WSH,Aaron Holiday,Shooting Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,42,53,0.262,0.223,3:12
2,1:43,BOS,Jaylen Brown,Personal Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,44,55,0.154,0.189,1:46
2,45.0,BOS,Jayson Tatum,Technical Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,49,57,0.241,0.264,45.0
3,11:45,WSH,Spencer Dinwiddie,Offensive Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,52,62,0.229,0.219,12:00
3,11:29,BOS,Al Horford,Shooting Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,52,62,0.163,0.197,11:30
3,9:15,WSH,Spencer Dinwiddie,Shooting Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,59,63,0.437,0.408,9:15
3,8:15,BOS,Marcus Smart,Personal Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,60,66,0.295,0.293,8:26
3,7:50,BOS,Jayson Tatum,Offensive Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,60,68,0.227,0.261,8:05
3,6:48,BOS,Marcus Smart,Shooting Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,62,71,0.152,0.191,7:09
3,5:54,BOS,Robert Williams III,Personal Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,64,78,0.076,0.091,5:54
3,4:50,WSH,Kyle Kuzma,Shooting Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,66,79,0.137,0.104,4:53
3,3:54,BOS,Dennis Schroder,Shooting Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,70,79,0.127,0.165,3:55
3,3:41,WSH,Davis Bertans,Shooting Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,70,80,0.208,0.166,3:54
3,3:23,WSH,Bradley Beal,Shooting Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,72,80,0.277,0.22,3:26
3,2:43,WSH,Deni Avdija,Shooting Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,74,80,0.352,0.291,2:50
3,2:16,WSH,Bradley Beal,Personal Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,76,80,0.435,0.37,2:28
3,14.8,WSH,Kentavious Caldwell-Pope,Personal Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,88,87,0.665,0.598,29.8
4,11:11,WSH,Spencer Dinwiddie,Shooting Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,88,89,0.587,0.499,11:21
4,10:21,BOS,Jaylen Brown,Shooting Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,90,91,0.443,0.443,10:21
4,10:05,WSH,Davis Bertans,Personal Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,90,92,0.457,0.442,10:20
4,8:44,WSH,Montrezl Harrell,Shooting Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,90,94,0.434,0.329,8:49
4,7:47,BOS,Marcus Smart,Shooting Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,94,94,0.395,0.502,8:09
4,7:20,WSH,Bradley Beal,Offensive Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,94,95,0.495,0.431,7:23
4,6:26,BOS,Marcus Smart,Shooting Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,94,97,0.203,0.3,6:31
4,5:56,BOS,Marcus Smart,Personal Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,94,99,0.117,0.184,6:06
4,4:44,WSH,Kyle Kuzma,Shooting Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,94,103,0.084,0.056,4:50
4,4:32,WSH,Aaron Holiday,Offensive Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,94,103,0.062,0.044,4:41
4,4:01,BOS,Al Horford,Shooting Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,96,103,0.045,0.082,4:18
4,3:54,WSH,Kyle Kuzma,Personal Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,96,105,0.092,0.055,4:01
4,27.1,BOS,Jaylen Brown,Personal Take Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,107,112,0.014,0.045,29.4
4,15.0,BOS,Dennis Schroder,Personal Take Foul,Foul,James Capers,Michael Smith,Leon Wood,BOS,107,114,0.001,0.005,23.3
