Period,Clock,Team,Fouler,Subtype,Descriptor,Official1,Official2,Official3,Home_Team,Home_Score,Away_Score,WinProb_Current,WinProb_Previous,Clock_Previous_WP
1,11:11,SA,Jakob Poeltl,Personal Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,2,2,0.805,0.806,11:23
1,10:32,SA,Jakob Poeltl,Shooting Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,2,2,0.826,0.803,10:45
1,8:25,SA,Keldon Johnson,Personal Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,7,6,0.809,0.812,8:38
1,7:20,DEN,Austin Rivers,Shooting Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,7,8,0.736,0.751,7:22
1,5:17,DEN,Austin Rivers,Shooting Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,13,17,0.633,0.671,5:19
1,4:26,DEN,Nikola Jokic,Loose Ball Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,17,21,0.666,0.663,4:26
2,11:16,DEN,DeMarcus Cousins,Personal Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,30,34,0.621,0.62,11:21
2,10:24,DEN,DeMarcus Cousins,Shooting Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,32,34,0.629,0.67,10:33
2,10:07,DEN,JaMychal Green,Personal Take Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,32,36,0.613,0.612,10:10
2,7:08,DEN,Nikola Jokic,Loose Ball Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,34,43,0.379,0.425,7:08
2,4:13,DEN,DEN,Technical Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,36,50,0.215,0.235,4:17
2,3:51,SA,Zach Collins,Personal Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,36,53,0.175,0.174,3:58
2,3:42,SA,Keldon Johnson,Shooting Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,36,53,0.214,0.175,3:51
2,2:47,SA,Keldon Johnson,Offensive Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,39,53,0.242,0.221,3:11
2,55.8,DEN,Nikola Jokic,Technical Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,41,59,0.092,0.105,55.8
2,33.7,SA,Zach Collins,Personal Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,41,62,0.092,0.071,41.0
2,0.1,DEN,Monte Morris,Shooting Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,44,62,0.077,0.104,22.1
3,9:12,SA,Jakob Poeltl,Shooting Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,52,68,0.159,0.124,9:19
3,8:28,DEN,Austin Rivers,Shooting Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,54,68,0.106,0.141,8:43
3,7:21,SA,Jakob Poeltl,Defensive 3-Seconds Technical,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,54,71,0.081,0.086,7:35
3,4:49,DEN,Nikola Jokic,Shooting Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,65,75,0.155,0.166,4:49
3,3:40,SA,Josh Richardson,Personal Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,67,77,0.213,0.216,3:48
4,10:36,SA,Keita Bates-Diop,Shooting Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,81,87,0.343,0.289,10:36
4,8:52,DEN,DeMarcus Cousins,Personal Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,85,92,0.166,0.178,9:04
4,8:20,DEN,Austin Rivers,Personal Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,85,95,0.069,0.077,8:30
4,8:13,DEN,Austin Rivers,Shooting Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,85,97,0.028,0.055,8:13
4,7:13,SA,Lonnie Walker IV,Shooting Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,85,101,0.02,0.01,7:26
4,4:55,DEN,Aaron Gordon,Shooting Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,88,101,0.004,0.01,5:06
4,3:50,DEN,Monte Morris,Offensive Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,90,105,0.001,0.002,4:00
4,3:50,DEN,Monte Morris,Personal Take Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,90,105,0.001,0.001,3:50
4,2:59,SA,Keldon Johnson,Shooting Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,92,109,0.001,0.001,2:59
4,2:49,DEN,Will Barton,Personal Take Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,93,109,0.001,0.001,2:59
4,2:33,DEN,Monte Morris,Personal Take Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,95,111,0.001,0.001,2:38
4,2:18,DEN,Will Barton,Personal Take Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,97,112,0.001,0.001,2:20
4,2:05,SA,Keldon Johnson,Personal Foul,Foul,Derek Richardson,Tony Brothers,Tre Maddox,DEN,97,112,0.001,0.001,2:16
